city,lat,lng,country,iso2,admin_name,capital,population,population_proper,gdp
Ludwigsburg,48.8975,9.1922,Germany,DE,Baden-Württemberg,minor,93499,93117,50982
Gladbeck,51.5667,6.9667,Germany,DE,North Rhine-Westphalia,,75687,75343,43910
Rosenheim,47.85,12.1333,Germany,DE,Bavaria,minor,63508,63508,51494
Herten,51.6,7.1333,Germany,DE,North Rhine-Westphalia,,61910,61910,43910
Hilden,51.1714,6.9394,Germany,DE,North Rhine-Westphalia,,55764,55182,43910
Elmshorn,53.7519,9.6511,Germany,DE,Schleswig-Holstein,,50141,50141,38274
Halle-Neustadt,51.4789,11.9214,Germany,DE,Saxony-Anhalt,,46280,46280,35909
Pinneberg,53.6333,9.8,Germany,DE,Schleswig-Holstein,minor,43603,43603,38274
Siegburg,50.8014,7.2044,Germany,DE,North Rhine-Westphalia,minor,41660,41660,41366
Germering,48.1333,11.3667,Germany,DE,Bavaria,,41387,40461,53768
Ostfildern,48.7333,9.25,Germany,DE,Baden-Württemberg,,39376,39376,50982
Kornwestheim,48.8598,9.1852,Germany,DE,Baden-Württemberg,,33803,33681,50982
Unterschleißheim,48.2833,11.5667,Germany,DE,Bavaria,,28907,28896,53768
Hattersheim,50.0722,8.4864,Germany,DE,Hesse,,28040,28040,50751
Unterhaching,48.0658,11.61,Germany,DE,Bavaria,,25379,25379,50982
Weingarten,47.8092,9.6444,Germany,DE,Baden-Württemberg,,25168,25168,53768
Obertshausen,50.0667,8.8333,Germany,DE,Hesse,,24968,24968,50751
Bad Soden am Taunus,50.1333,8.5,Germany,DE,Hesse,,23036,23036,50751
Haar,48.1,11.7333,Germany,DE,Bavaria,,21797,21797,50982
Eschborn,50.1436,8.57,Germany,DE,Hesse,,21734,21734,50751
Ottobrunn,48.0667,11.6667,Germany,DE,Bavaria,,21719,21719,50982
Puchheim,48.15,11.35,Germany,DE,Bavaria,,21531,21221,50982
Gröbenzell,48.2,11.3667,Germany,DE,Bavaria,,19967,19649,50982
Schenefeld,53.6028,9.8233,Germany,DE,Schleswig-Holstein,,19402,19402,38274
Wolfratshausen,47.9133,11.4278,Germany,DE,Bavaria,,18984,18984,50982
Glinde,53.5406,10.2111,Germany,DE,Schleswig-Holstein,,18443,18376,38274
Eilendorf,50.7794,6.1625,Germany,DE,North Rhine-Westphalia,,15892,15892,50751
Eppelheim,49.4,8.6333,Germany,DE,Baden-Württemberg,,15359,15359,50751
Neubiberg,48.0833,11.6833,Germany,DE,Bavaria,,14538,14473,50982
Asperg,48.9,9.1333,Germany,DE,Baden-Württemberg,,13486,13486,50982
Wentorf bei Hamburg,53.4931,10.2533,Germany,DE,Schleswig-Holstein,,13366,13366,38274
Kronshagen,54.3333,10.0833,Germany,DE,Schleswig-Holstein,,11921,11921,38274
Eichenau,48.1667,11.3167,Germany,DE,Bavaria,,11894,11722,50982
Steinbach am Taunus,50.1667,8.5667,Germany,DE,Hesse,,10682,10647,50751
Weißenthurm,50.4144,7.4606,Germany,DE,Rhineland-Palatinate,,9171,9171,38925
Neulußheim,49.2933,8.5219,Germany,DE,Baden-Württemberg,,7133,7133,38925
Eichwalde,52.373,13.6213,Germany,DE,Brandenburg,,6468,6468,38925
Altbach,48.7239,9.3797,Germany,DE,Baden-Württemberg,,6378,6378,50982
Merzhausen,47.9664,7.8286,Germany,DE,Baden-Württemberg,,5280,5280,34610
Buckenhof,49.5914,11.0522,Germany,DE,Bavaria,,3105,3105,34610
